testing	faults	minor-faults	major-faults	instructions	cycles	time
cfrac	663.0	663.0	0.0	46630759095.0	13542970408.0	3.033795783
espresso	1637.0	1637.0	0.0	34363900953.0	14143566409.0	3.134400523
larsonN-sized	27442.0	27442.0	0.0	274327477009.0	244939971518.0	7.03898268
mstress	107982.0	107982.0	0.0	15244718307.0	25644018684.0	0.793263933
rptest	26926.0	26926.0	0.0	1924041860.0	4973147148.0	16.013753622
alloc-test1	2889.0	2889.0	0.0	13368986180.0	9275593777.0	2.050555918
alloc-testN	4513.0	4513.0	0.0	146899209059.0	114432561330.0	2.323974611
sh6bench	62565.0	62565.0	0.0	18504060268.0	9231909674.0	0.217161145
sh8bench	24245.0	24245.0	0.0	44932188387.0	23376279185.0	0.542866709
xmalloc-testN	23120.0	23115.0	5.0	112551947368.0	232089285733.0	5.00724407
cache-scratch1	484.0	484.0	0.0	24009316275.0	4021315490.0	0.922212545
cache-scratchN	506.0	506.0	0.0	24013342400.0	9376526883.0	0.189855187
glibc-simple	530.0	530.0	0.0	26446671679.0	8217732625.0	1.852091741
glibc-thread	3554.0	3543.0	11.0	179906493087.0	96702616934.0	2.001666301
malloc-large	477.0	477.0	0.0	41860116751.0	25725895894.0	5.687403734
mleak	6479.0	6479.0	0.0	390741835.0	344502632.0	0.05695597
mleak10	60532.0	60532.0	0.0	3873090359.0	3581756248.0	0.603661737
cache-thrash1	482.0	482.0	0.0	24008041554.0	4008637308.0	0.917612549
cache-thrashN	506.0	506.0	0.0	24013333440.0	9373129485.0	0.189243177
