testing	faults	minor-faults	major-faults	instructions	cycles	time
cfrac	662.0	662.0	0.0	46632445062.0	13545274641.0	3.007951964
espresso	1636.0	1636.0	0.0	34372932316.0	14228209630.0	3.149488965
larsonN-sized	27691.0	27691.0	0.0	275131995478.0	246958296429.0	7.036015432
mstress	294527.0	294527.0	0.0	15182304197.0	24963597806.0	0.745938612
rptest	27355.0	27355.0	0.0	1946434553.0	5291440590.0	16.014290096
alloc-test1	2888.0	2888.0	0.0	13368865398.0	9360631978.0	2.064655132
alloc-testN	4507.0	4507.0	0.0	146899277102.0	115322956826.0	2.320920374
sh6bench	62566.0	62566.0	0.0	18503761520.0	9793469551.0	0.228021855
sh8bench	40354.0	40354.0	0.0	44899545678.0	23782364851.0	0.557743037
xmalloc-testN	20396.0	20394.0	2.0	118068357151.0	233068023480.0	5.005267839
cache-scratch1	484.0	484.0	0.0	24008013361.0	4008538901.0	0.910403423
cache-scratchN	507.0	507.0	0.0	24013743898.0	9375324660.0	0.18794985
glibc-simple	530.0	530.0	0.0	26446702486.0	8452944588.0	1.892304979
glibc-thread	3553.0	3543.0	10.0	178166323959.0	97502875032.0	2.001590483
malloc-large	7784503.0	7784503.0	0.0	40246911413.0	43697902524.0	9.457641572
mleak	6480.0	6480.0	0.0	394498039.0	338965081.0	0.062795334
mleak10	60515.0	60515.0	0.0	3896287229.0	3614121187.0	0.610087455
cache-thrash1	482.0	482.0	0.0	24008045222.0	4009082725.0	0.914550294
cache-thrashN	506.0	506.0	0.0	24013464277.0	9374800789.0	0.187537033
