testing	faults	minor-faults	major-faults	instructions	cycles	time
cfrac	-1	-1	-1	-1	-1	-1
espresso	-1	-1	-1	-1	-1	-1
larsonN-sized	-1	-1	-1	-1	-1	-1
mstress	-1	-1	-1	-1	-1	-1
rptest	-1	-1	-1	-1	-1	-1
alloc-test1	-1	-1	-1	-1	-1	-1
alloc-testN	-1	-1	-1	-1	-1	-1
sh6bench	-1	-1	-1	-1	-1	-1
sh8bench	-1	-1	-1	-1	-1	-1
xmalloc-testN	-1	-1	-1	-1	-1	-1
cache-scratch1	-1	-1	-1	-1	-1	-1
cache-scratchN	-1	-1	-1	-1	-1	-1
glibc-simple	-1	-1	-1	-1	-1	-1
glibc-thread	-1	-1	-1	-1	-1	-1
malloc-large	-1	-1	-1	-1	-1	-1
mleak	-1	-1	-1	-1	-1	-1
mleak10	-1	-1	-1	-1	-1	-1
cache-thrash1	-1	-1	-1	-1	-1	-1
cache-thrashN	-1	-1	-1	-1	-1	-1
